scrip,scrip_name
ORIENTLTD,ORIENT PRESS LIMITED
ORIENTPPR,ORIENT PAPER AND INDS LIMITED
ORIENTREF,ORIENT REFRACTORIES LIMITED
ORISSAMINE,ORISSA MIN DEV CO LIMITED
ORKAY,ORKAY INDUSTRIES LIMITED
ORTEL,ORTEL COMMUNICATIONS LIMITED
ORTINLABSS,ORTIN LABORATORIES LIMITED
ORTONSYNTH,ORTON SYNTHETICS LIMITED
OSWALAGFUR,OSWAL AGRO FURANE LIMITED
OSWALAGRO,OSWAL AGRO MILLS LIMITED
OSWALSPG,OSWAL SPG & WEAVING MILLS
OSWALSUG,OSWAL SUGARS LIMITED
OTIS,OTIS ELEVATOR COMPANY (I)
OTOKLIN,OTOKLIN PLANTS & EQUIP. L
PAAMDRUG,PAAM DRUGS & PHARMA LIMITED
PAAMPHARMA,PAAM PHARMACEUTICALS LIMITED
PACIFICIND,PACIFIC INDUSTRIES LIMITED
PADMINPOLY,PADMINI TECHNOLOGIES  LIMITED
PAEL,PAE LIMITED
PAGEIND,PAGE INDUSTRIES LIMITED
PAISALO,PAISALO DIGITAL LIMITED
PALASHSECU,PALASH SECURITIES LIMITED
PALCREDIT,PAL CREDIT & CAPITAL LIMITED
PALREDTEC,PALRED TECHNOLOGIES LIMITED
PANACEABIO,PANACEA BIOTEC LIMITED
PANACHE,PANACHE DIGILIFE LIMITED
PANAMAPET,PANAMA PETROCHEM LIMITED
PANASIGLOB,PAN ASIA GLOBAL LIMITED
PANCARBON,PANA CARBON IND CO LIMITED
PANCHMSTEL,PANCHMAHAL STEEL LIMITED
PANDGRAPH,PANDIAN GRAPHITES (I) LIMITED
PANORAMUNI,PANORAMIC UNIVERSAL LIMITED
PANYAMCEM,PANYAM CEMENT MINING INDS
PAPERPROD,HUHTAMAKI PPL LIMITED
PARABDRUGS,PARABOLIC DRUGS LIMITED
PARACABLES,PARAMOUNT COMM LIMITED
PARAGMILK,PARAG MILK FOODS LIMITED.
PARAL,PAREKH ALUM. LIMITED
PARAPRINT,PARAMOUNT PRINTPACK LIMITED
PARASIND,PARASRAMPURIA INDUSTRIES
PARASPETRO,PARAS PETROFILS LIMITED.
PARRYAGRO,PARRY AGRO INDUSTRIES LIMITED
PARSSYNTH,PARASRAMPURIA SYNTHETICS
PARSVNATH,PARSVNATH DEVELOPER LIMITED
PASUPATSPG,PASHUPATI SPG & WVG MILLS
PASUPTACRY,PASUPATI ACRYLON LIMITED
PATELENG,PATEL ENGINEERING LIMITED.
PATINTLOG,PATEL INT. LOG. LIMITED
PATSPINLTD,PATSPIN INDIA LIMITED
PBAINFRA,PBA INFRASTRUCTURE LIMITED.
PCJEWELLER,PC JEWELLER LIMITED
PCL,PERTECH COMPUTERS LIMITED
PDMJEPAPER,PUDUMJEE PAPER PRO. LIMITED
PDPL,PARENTERAL DRUGS LIMITED
PDSMFL,PDS MULTINATIONAL FAS LIMITED
PEARLPOLY,PEARL POLYMERS LIMITED
PEERABASAN,PEERLESS ABASAN FINANCE L
PEL,PIRAMAL ENTERPRISES LIMITED
PENAPATSEC,PENNAR PATERSON LIMITED.
PENARSTEEL,PENNAR INDUSTRIES LIMITED
PENIND,PENNAR INDUSTRIES LIMITED
PENINLAND,PENINSULA LAND LIMITED
PENNARALUM,PENNAR ALUMINIUM CO LIMITED
PENPEBS,PENNAR ENG BLDG SYS LIMITED
PENTFRPROD,PENTAFOUR PRODUCTS LIMITED
PENTFRSOLC,PENTAFOUR SOLEC TECHNOLOG
PERMAGNET,PERMANENT MAGNETS LIMITED
PERSISTENT,PERSISTENT SYSTEMS LIMITED
PETRONENGG,PETRON ENGG CONSTRUCT LIMITED
PETRONET,PETRONET LNG LIMITED
PFC,POWER FIN CORP LIMITED.
PFIMXPHARM,PFIMEX PHARMACEUTICALS LT
PFIZER,PFIZER LIMITED
PFOCUS,PRIME FOCUS LIMITED
PFS,PTC INDIA FIN SERV LIMITED
PGEL,PG ELECTROPLAST LIMITED
PGHH,P&G HYGIENE & HEALTH CARE
PGHL,PROCTER & GAMBLE HEALTH L
PGIL,PEARL GLOBAL IND LIMITED
PHILIPCARB,PHILIPS CARBON BLACK LIMITED
PHILIPS,PHILIPS INDIA LIMITED
PHOENIXLL,PHOENIX LAMPS LIMITED
PHOENIXLTD,THE PHOENIX MILLS LIMITED
PHOENXINTL,PHOENIX INTERNATIONAL LIMITED
PICCADSUG,PICCADILLY SUGAR & ALLIED
PIDILITIND,PIDILITE INDUSTRIES LIMITED
PIIND,PI INDUSTRIES LIMITED
PILANIINVS,PILANI INV & IND COR LIMITED
PILITA,PIL ITALICA LIFESTYLE LIMITED
PINCON,PINCON SPIRIT LIMITED
PINDLTD,P I INDUSTRIES LIMITED
PIONDIST,PIONEER DIST LIMITED
PIONEEREMB,PIONEER EMBROIDERIES LIMITED
PIRPHYTO,PIRAMAL PHYTOCARE LIMITED
PITTIECEM,PITTIE CEMENT LIMITED
PITTIEFIN,PITTIE FINANCE LIMITED
PITTIENG,PITTI ENGINEERING LIMITED
PKTEA,THE P K TEA PROD CO LIMITED
PLASTIBLEN,PLASTIBLENDS INDIA LIMITED
PLETHICO,PLETHICO PHARMACE LIMITED
PNB,PUNJAB NATIONAL BANK
PNBGILTS,PNB GILTS LIMITED
PNBHOUSING,PNB HOUSING FIN LIMITED.
PNC,PRITISH NANDY COMMUNICATI
PNCINFRA,PNC INFRATECH LIMITED.
POCHIRAJU,POCHIRAJU IND LIMITED
PODARPIGMT,PODDAR PIGMENTS LIMITED
PODDARHOUS,PODDAR HOUSE & DVPT LIMITED
PODDARMENT,PODDAR PIGMENTS LIMITED
POKARNA,POKARNA LIMITED
POLARIS,POLARIS CONSULTG & SER LT
POLYCAB,POLYCAB INDIA LIMITED
POLYMED,POLY MEDICURE LIMITED
POLYPLEX,POLYPLEX CORPORATION LIMITED
PONDYOXIDE,PONDY OXIDE LIMITED
PONNIERODE,PONNIE SUGARS (ERODE) LIMITED
PORRITSPEN,PORRITTS & SPENCER (ASIA)
POWERGRID,POWER GRID CORP. LIMITED.
POWERINDIA,ABB POWER PRO N SYS IND L
POWERMECH,POWER MECH PROJECTS LIMITED.
PPAP,PPAP AUTOMOTIVE LIMITED
PPIL,PHARMACEUTICALS PRODUCTS
PPL,PRAKASH PIPES LIMITED
PRABHAT,PRABHAT DAIRY LIMITED
PRADIP,PRADIP OVERSEAS LIMITED
PRAENG,PRAJAY ENG. SYN. LIMITED.
PRAGBOSIMI,PRAG BOSIMI SYNTHETICS LT
PRAJIND,PRAJ INDUSTRIES LIMITED
PRAKASH,PRAKASH INDUSTRIES LIMITED
PRAKASHSTL,PRAKASH STEELAGE LIMITED
PRASGLOFIN,SILICON VALLEY INFOTECH
PRATIBHA,PRATIBHA INDS. LIMITED.
PRAXIS,PRAXIS HOME RETAIL LIMITED
PRECAM,PRECISION CAMSHAFTS LIMITED.
PRECIMDIAM,PRECIMET DIAMONDS (I) LIMITED
PRECOT,PRECOT MERIDIAN LIMITED
PRECSNFAST,PRECISION FASTENERS LIMITED
PRECWIRE,PRECISION WIRES INDIA LIMITED
PREMEXPLN,PREMIER EXPLOSIVES LIMITED
PREMIER,PREMIER LIMITED
PREMIERPOL,PREMIER POLYFILM LIMITED
PREMVINYL,PREMIER VINYL FLOORING LT
PRESSMN,PRESSMAN ADVERTISING LIMITED
PRESTIGE,PRESTIGE ESTATE LIMITED
PRICOLLTD,PRICOL LIMITED
PRIMESECU,PRIME SECURITIES LIMITED
PRINCEPIPE,PRINCE PIPES FITTINGS LIMITED
PRITHVI,PRITHVI INFO. SOLN. LIMITED.
PRIYADCEM,PRIYADARSHINI CEMENT LIMITED
PRIYADYES,PRIYA LIMITED.
PROSEED,PROSEED INDIA LIMITED
PROVOGE,PROVOGUE (INDIA) LIMITED
PROZONINTU,PROZONE INTU PROPRTIS LIMITED
PRSMJOHNSN,PRISM JOHNSON LIMITED
PSB,PUNJAB & SIND BANK
PSIDATASYS,PSI DATA SYSTEMS LIMITED
PSL,PSL LIMITED
PSMSPGMILL,PSM SPINNING MILLS LIMITED
PSPPROJECT,PSP PROJECTS LIMITED
PSUBKBENAV,PSU BANK BEES NAV
PSUBNKBEES,NIPP IN ETF PSU BANK BEES
PTC,PTC INDIA LIMITED
PTL,PTL ENTERPRISES LIMITED
PUNALKALI,PUNJAB ALKALIES & CHEMICA
PUNANDLAMP,PUNJAB ANAND LAMPS LIMITED
PUNJABCHEM,PUNJAB CHEM & CROP PROT L
PUNJABWIRE,PUNJAB WIRELESS SYSTEMS L
PUNJABWOOL,PUNJAB WOOLCOMBERS LIMITED
PUNJCOMMU,PUNJAB COMMUNICATIONS LIMITED
PUNJLLOYD,PUNJ LLOYD LIMITED
PUNSUMI,PUNSUMI (I) LIMITED
PURVA,PURAVANKARA LIMITED
PVP,PVP VENTURES LIMITED
PVR,PVR LIMITED
QGOLDHALF,QUANTUM GOLD FUND
QNIFTY,QUANTUM NIFTY ETF
QUESS,QUESS CORP LIMITED
QUICKHEAL,QUICK HEAL TECH LIMITED
QUINTEGRA,QUINTEGRA SOLUTIONS LIMITED.
RADAAN,RADAAN MEDIAWORKS (I) LIMITED
RADICO,RADICO KHAITAN LIMITED
RADICOKHAI,RADICO KHAITAN LIMITED
RADIOCITY,MUSIC BROADCAST LIMITED
RAIN,RAIN INDUSTRIES LIMITED
RAINBOWPAP,RAINBOW PAPERS LIMITED
RAINBOWPPR,RAINBOW PAPERS LIMITED
RAJASBREW,RAJASTHAN BREWERIES LIMITED
RAJASPETRO,RAJASTHAN PETRO SYNTHETIC
RAJESHEXPO,RAJESH EXPORTS LIMITED
RAJOIL,RAJ OIL MILLS LIMITED
RAJRATAN,RAJRATAN GLOBAL WIRE LIMITED
RAJRAYON,RAJ RAYON INDUSTRIES LIMITED
RAJSREESUG,RAJSHREE SUGAR & CHEMICAL
RAJTV,RAJ TV NETWORK LIMITED
RAJVIR,RAJVIR INDUSTRIES LIMITED
RALLIS,RALLIS INDIA LIMITED
RAMADHOTEL,ADVANI HOTELS & RESORTS I
RAMANEWS,SHREE RAMA NEWSPRINT LIMITED
RAMAPETRO,RAMA PETROCHEMICALS LIMITED
RAMAPHOSP,RAMA PHOSPHATES LIMITED
RAMASTEEL,RAMA STEEL TUBES LIMITED
RAMAVISION,RAMA VISION LIMITED
RAMCOCEM,THE RAMCO CEMENTS LIMITED
RAMCOIND,RAMCO INDUSTRIES LIMITED
RAMCOSYS,RAMCO SYSTEMS LIMITED.
RAMGOPOLY,RAMGOPAL POLYTEX LIMITED
RAMKY,RAMKY INFRA LIMITED
RAMSARUP,RAMSARUP INDUSTRIES LIMITED.
RANASUG,RANA SUGARS LIMITED.
RANEENGINE,RANE ENG VALVE LIMITED
RANEHOLDIN,RANE HOLDINGS LIMITED
RANKAQUA,RANK INDUSTRIES LIMITED
RASLAMIPAK,RAS PROPACK LAMIPACK LIMITED
RASOYPR,RASOYA PROTEINS LIMITED
RATHIALLOY,RATHI ALLOYS AND STEELS L
RATNAMANI,RATNAMANI MET & TUB LIMITED.
RAVALSUGAR,RAVALGAON SUGAR FARM LIMITED
RAYMOND,RAYMOND LIMITED
RAYMONDSYN,RECRON SYNTHETICS LIMITED
RBL,RANE BRAKE LINING LIMITED
RBLBANK,RBL BANK LIMITED
RCF,RASHTRIYA CHEMICALS & FER
RCOM,RELIANCE COMMUNICATIONS L
READYFOOD,READY FOODS LIMITED
RECKCOLMAN,RECKITT BENCKISER (I) LIMITED
RECLTD,REC LIMITED
REDINGTON,REDINGTON (INDIA) LIMITED.
REFEX,REFEX INDUSTRIES LIMITED
REGENCERAM,REGENCY CERAMICS LIMITED.
REIAGROLTD,REI AGRO LIMITED
REILPROD,REIL PRODUCTS LIMITED
REISIXTEN,REI SIX TEN RETAIL LIMITED
REL100NAV,RELCAPAMC - RELCNX100
RELAXO,RELAXO FOOT LIMITED.
RELAXOFOOT,RELAXO FOOTWEAR LIMITED
RELBANKNAV,R SHARES BANKING ETF
RELCAPITAL,RELIANCE CAPITAL LIMITED
RELCONSNAV,RELCAPAMC - RELCONS
RELDIVNAV,RELCAPAMC - RELDIVOPP
RELGOLDNAV,R SHARES GOLD ETF
RELIANCE,RELIANCE INDUSTRIES LIMITED
RELIGARE,RELIGARE ENTER. LIMITED.
RELINFRA,RELIANCE INFRASTRUCTU LIMITED
RELNV20NAV,RELCAPAMC - RELNV20
REMIMETAL,REMI METALS GUJARAT LIMITED
REMSONSIND,REMSONS INDUSTRIES LIMITED
RENCOGEAR,RENCO GEARS LIMITED
RENIFTYNAV,RELCAPAMC - RELNIFTY
RENUKA,SHREE RENUKA SUGARS LIMITED
REPCOHOME,REPCO HOME FINANCE LIMITED
REPLENGINE,REPL ENGINEERING LIMITED
REPRO,REPRO INDIA LIMITED
RESPONIND,RESPONSIVE INDUSTRIES LIMITED
REVATHI,REVATHI EQUIPMENT LIMITED
RGL,RENAISSANCE GLOBAL LIMITED
RHFL,RELIANCE HOME FINANCE LIMITED
RICHSILK,RICHIMEN SILK LIMITED
RICOAUTO,RICO AUTO INDUSTRIES LIMITED
RIIL,RELIANCE INDUSTRIAL INFRA
RIL-RE,RELIANCE INDUSTRIES RE
RISHIPACK,RISHI PACKERS LIMITED
RITES,RITES LIMITED
RKDL,RAVI KUMAR DIST. LIMITED.
RKFORGE,RAMKRISHNA FORGINGS LIMITED
RMCL,RADHA MADHAV CO. LIMITED.
RML,RANE (MADRAS) LIMITED
RMMIL,RESURGERE MINES & MINERAL
RNAVAL,RELIANCE NAVAL & ENGG LIMITED
ROHITFERRO,ROHIT FERRO-TECH LIMITED
ROHLTD,ROYAL ORCHID HOTELS LIMITED
ROLATAN,ROLLATAINERS LIMITED
ROLLT,ROLLATAINERS LIMITED
ROLTA,ROLTA INDIA LIMITED
ROMIND,ROM INDUSTRIES LIMITED
ROSSELL,ROSSELL INDUSTRIES LIMITED
ROSSELLIND,ROSSELL INDIA LIMITED
ROYALCUSHN,ROYAL CUSHION VINYL PRODU
RPGLIFE,RPG LIFE SCIENCES LIMITED
RPOWER,RELIANCE POWER LIMITED.
RPPINFRA,R.P.P INFRA PROJECTS LIMITED
RSSOFTWARE,R. S. SOFTWARE (INDIA) LI
RSWM,RSWM LIMITED
RSYSTEMS,R SYS INTERNATIONAL LIMITED
RTNINFRA,RATTANINDIA INFRA LIMITED
RTNPOWER,RATTANINDIA POWER LIMITED
RUBFILINTL,RUBFILA INTERNATIONAL LIMITED
RUBYMILLS,THE RUBY MILLS LIMITED
RUCHI,RUCHI SOYA INDUSTRIES LIMITED
RUCHINFRA,RUCHI INFRASTRUCTURE LIMITED
RUCHIRA,RUCHIRA PAPERS LIMITED
RUCHISOYA,RUCHI SOYA INDUSTRIES LIMITED
RUCHISTRIP,RUCHI STRIPS AND ALLOYS L
RUPA,RUPA & COMPANY LIMITED
RUSHIL,RUSHIL DECOR LIMITED
RVNL,RAIL VIKAS NIGAM LIMITED
S&SIND,S&S INDUSTRIES & ENTERPRI
S&SPOWER,S&S POWER SWITCHGEARS LIMITED
SABEVENTS,SAB EVENTS & GOVERNANCE
SABTN,SRI ADHIKARI BROS.
SADBHAV,SADBHAV ENGINEERING LIMITED
SADBHIN,SADBHAV INFRA PROJ LIMITED.
SAFARI,SAFARI IND (INDIA) LIMITED
SAGARCEM,SAGAR CEMENTS LIMITED
SAGARDEEP,SAGARDEEP ALLOYS LIMITED
SAGCEM,SAGAR CEMENTS LIMITED
SAIL,STEEL AUTHORITY OF INDIA
SAISERVICE,SAI SERVICES STATION LIMITED
SAITELE,SAI TELEVISION LIMITED.
SAKAR,SAKAR HEALTHCARE LIMITED
SAKHTISUG,SAKTHI SUGARS LIMITED
SAKSOFT,SAKSOFT LIMITED
SAKTHIFIN,SAKTHI FINANCE LIMITED
SAKUMA,SAKUMA EXPORTS LIMITED
SALASAR,SALASAR TECHNO ENGG. LIMITED.
SALONA,SALONA COTSPIN LIMITED.
SALORAINTL,SALORA INTERNATIONAL LIMITED
SALSTEEL,S.A.L. STEEL LIMITED.
SALZERELEC,SALZER ELECTRONICS LIMITED
SAMBHAAV,SAMBHAAV MEDIA LIMITED
SAMTEL,SAMTEL COLOR LIMITED
SAMTELTD,SAMTEL (I) LIMITED
SANCO,SANCO INDUSTRIES LIMITED
SANDESH,SANDESH LIMITED
SANDHAR,SANDHAR TECHNOLOGIES LIMITED
SANDVIKAS,SANDVIK ASIA LIMITED
SANGAMIND,SANGAM (INDIA) LIMITED
SANGHIIND,SANGHI INDUSTRIES LIMITED
SANGHVIFOR,SANGHVI FOR & ENG LIMITED
SANGHVIMOV,SANGHVI MOVERS LIMITED
SANGINITA,SANGINITA CHEMICALS LIMITED
SANOFI,SANOFI INDIA LIMITED
SANWARIA,SANWARIA CONSUMER LIMITED
SARASIND,SARASWATI INDL SYNDICATE
SARDAEN,SARDA ENERGY & MIN LIMITED
SAREGAMA,SAREGAMA INDIA LIMITED
SARLAPOLY,SARLA PERF. FIBERS LIMITED
SASKEN,SASKEN TECHNOLOGIES LIMITED
SASTASUNDR,SASTASUNDAR VENTURES LIMITED
SATHAISPAT,SATHAVAHANA ISPAT LIMITED
SATHVANISP,SATHAVAHANA ISPAT LIMITED
SATIA,SATIA INDUSTRIES LIMITED
SATIN,SATIN CREDIT NET LIMITED
SATYAMCEM,SATYAM CEMENTS LIMITED
SAURASHCEM,SAURASHTRA CEMENT LIMITED
SAURASTPPR,SAURASHTRA PAPER & BOARD
SAYAJHOTEL,SAYAJI HOTELS LIMITED
SBBJ,STATE BANK OF BIKANER & J
SBICARD,SBI CARDS & PAY SER LIMITED
SBIETFQLTY,SBIAMC - SBIETFQLTY
SBIHOMEFIN,SBI HOME FINANCE LIMITED
SBILIFE,SBI LIFE INSURANCE CO LIMITED
SBIN,STATE BANK OF INDIA
SBT,STATE BANK OF TRAVANCORE
SCAPDVR,STAMPEDE CAPITAL LIMITED
SCHAEFFLER,SCHAEFFLER INDIA LIMITED
SCHAND,S CHAND AND COMPANY LIMITED
SCHNEIDER,SCHNEIDER ELECTRIC INFRA
SCI,SHIPPING CORP OF INDIA LT
SDBL,SOM DIST & BREW LIMITED
SEAMECLTD,SEAMEC LIMITED
SECALS,SECALS LIMITED
SELAN,SELAN EXPLO. TECH LIMITED
SELMCL,SEL MANU. CO. LIMITED.
SEPOWER,S.E. POWER LIMITED
SEQUENT,SEQUENT SCIENTIFIC LIMITED.
SERENDYSTF,SERENE INDUSTRIES LIMITED
SERVALL,SERVALAKSHMI PAPER LIMITED
SESHAPAPER,SESHASAYEE PAPER & BOARDS
SETCO,SETCO AUTOMOTIVE LIMITED
SETF10GILT,SBIAMC - SETF10GILT
SETFGOLD,SBI-ETF GOLD
SETFNIF50,SBI-ETF NIFTY 50
SETFNIFBK,SBI-ETF NIFTY BANK
SETFNN50,SBI-ETF NIFTY NEXT 50
SETUINFRA,SETUBANDHAN INFRA LIMITED
SEYAIND,SEYA INDUSTRIES LIMITED
SEZAL,SEZAL GLASS LIMITED
SFL,SHEELA FOAM LIMITED
SGFL,SHREE GANESH FORG. LIMITED
SGJHL,SH GANESH JEWEL HOUS(I)LT
SGL,STL GLOBAL LIMITED
SHAANINTER,SHAAN INTERWEL (I) LIMITED
SHAHALLOYS,SHAH ALLOYS LIMITED
SHAKTIPUMP,SHAKTI PUMPS (I) LIMITED
SHALBY,SHALBY LIMITED
SHALMPAINT,SHALIMAR PAINTS LIMITED
SHALPAINTS,SHALIM PAINTS LIMITED
SHAMKNFAB,SHAMKEN MULTIFAB LIMITED
SHAMKNSPIN,SHAMKEN SPINNERS LIMITED
SHANKARA,SHANKARA BLDG PRODUCT LIMITED
SHANTIGEAR,SHANTHI GEARS LIMITED
SHARDACROP,SHARDA CROPCHEM LIMITED.
SHARDAMOTR,SHARDA MOTOR INDS LIMITED
SHARDATERY,SHARDA TERRY PRODUCTS LIMITED
SHARIABEES,NIPP IND ETF SHARIAH BEES
SHARIBENAV,SHARIAH BEES NAV
SHARONBIO,SHARON BIO-MEDI LIMITED
SHARTSEFOD,SHARAT INDUSTRIES LIMITED
SHARYANRES,SHARYANS RESOURCES LIMITED
SHAWALLACE,SHAW WALLACE LIMITED
SHAWGELTIN,SHAW WALLACE GELATINES
SHEMAROO,SHEMAROO ENTER. LIMITED.
SHETRON,SHETRON LIMITED
SHIL,SOMANY HOM INNOVATION LIMITED
SHILPAMED,SHILPA MEDICARE LIMITED
SHILPI,SHILPI CABLE TECH LIMITED
SHIRPUR-G,SHIRPUR GOLD REFINERY LIMITED
SHIVAJWORK,SHIVAJI WORKS LIMITED
SHIVAMAUTO,SHIVAM AUTO.LTD
SHIVAMILLS,SHIVA MILLS LIMITED
SHIVATEX,SHIVA TEXYARN LIMITED
SHIVTEX,SHIVA TEXYARN LIMITED
SHK,S H KELKAR AND CO. LIMITED.
SHLAKSHMI,SHRI LAKSHMI COTSYN LIMITED
SHOPERSTOP,SHOPPERS STOP LIMITED
SHOPINVFIN,SHOPPERS' INV & FIN  CO.
SHREAMBPPR,SHREE AMBESHWAR PPR MILLS
SHREDIGCEM,SHREE DIGVIJAY CEM CO LIMITED
SHREEASHTA,SHR ASTHVIN CINE VIS LIMITED
SHREECEM,SHREE CEMENT LIMITED
SHREEKRPET,ESKAY K 'N' IT (INDIA) LT
SHREEKRPOL,KRISHNA LIFESTYLE TECHNOL
SHREEPUSHK,SHRE PUSH CHEM & FERT LIMITED
SHREERAMA,SHREE RAMA MULTI TECH LIMITED
SHREESYNTH,SHREE SYNTHETICS LIMITED
SHRENIK,SHRENIK LIMITED
SHRENUJ,SHRENUJ & CO LIMITED
SHREPRECOT,SHREE PRECOATED STEELS LT
SHRERAJSYN,SHREE RAJASTHAN SYNTEX LT
SHREYANIND,SHREYANS INDUSTRIES LIMITED
SHREYAS,SHREYAS SHIPPING & LOGIST
SHRIASTER,SHRI ASTER SILICATES LIMITED
SHRIDINESH,SHRI DINESH MLLS LIMITED
SHRIPISTON,SHRIRAM PIST. & RING LIMITED
SHRIRAMCIT,SHRIRAM CITYUNI FIN.LTD.
SHRIRAMEPC,SHRIRAM EPC LIMITED.
SHRIYAMSEC,SHRIYAM SECURITIES LIMITED
SHUKRADIAM,SHUKRA DIAMONDS EXPORTS
SHYAMCENT,SHYAM CENTURY FERROUS LIMITED
SHYAMTEL,SHYAM TELECOM LIMITED
SICAGEN,SICAGEN INDIA LIMITED
SICAL,SICAL LOGISTICS LIMITED
SIDDHATUBE,SIDDHARTHA TUBES LIMITED
SIEL,SIEL LIMITED
SIEMENS,SIEMENS LIMITED
SIGIND,SIGNET INDUSTRIES LIMITED
SIGNET,SIGNET INDUSTRIES LIMITED
SIL,STANDARD INDUSTRIES LIMITED.
SILINV,SIL INVESTMENTS LIMITED
SILVERLINE,SILVERLINE TECHNOLOGIES L
SIMBHALS,SIMBHAOLI SUGARS LIMITED.
SIMBHALSUG,SIMBHAOLI SUGAR MILLS LIMITED
SIMPLEX,SIMPLEX PROJECTS LIMITED.
SIMPLEXCAS,SIMPLEX CASTING LIMITED
SIMPLEXINF,SIMPLEX INFRASTRUCTURES L
SINGER,SINGER INDIA LIMITED
SINTEX,SINTEX INDUSTRIES LIMITED
SIPAPER,SOUTH INDIA PAPER MILLS
SIRCA,SIRCA PAINT INDIA LIMITED
SIRIS,SIRIS LIMITED
SIRPAPER,SIRPUR PAPER MILLS LIMITED
SIS,SECURITY INTELL SERVICES
SITASHREE,SITA SHREE FOOD PROD LIMITED
SITINET,SITI NETWORKS LIMITED
SIYSIL,SIYARAM SILK MILLS LIMITED
SJVN,SJVN LIMITED
SKFINDIA,SKF INDIA LIMITED
SKIL,SKIL INFRASTRUCTURE LIMITED.
SKIPPER,SKIPPER LIMITED
SKMEGGPROD,SKM EGG PROD EXPORT(I) LT
SKSIND,SKS LIMITED
SKUMARSYNF,S KUMARS NATIONWIDE LIMITED
SMARTLINK,SMARTLINK HOLDINGS LIMITED
SMDYECHEM,S M DYECHEM LIMITED
SMLISUZU,SML ISUZU LIMITED
SMPL,SPLENDID METAL PRODUCTS L
SMSLIFE,SMS LIFESCIENCES (I) LIMITED
SMSPHARMA,SMS PHARMACEUTICALS LIMITED.
SNEHAIND,SNEHADHARA INDUSTRIES LIMITED
SNOWMAN,SNOWMAN LOGISTICS LIMITED.
SOBHA,SOBHA LIMITED
SOFTTECHGR,SOFTWARE TECHNOLOGY GROUP
SOLARA,SOLARA ACTIVE PHA SCI LIMITED
SOLARINDS,SOLAR INDUSTRIES (I) LIMITED
SOLARSNIND,SOLARSON INDUSTRIES LIMITED
SOLPHARMA,SOL PHARMACEUTICALS LIMITED
SOMANISWIS,SOMANI SWISS INDS LIMITED
SOMANYCERA,SOMANY CERAMICS LIMITED
SOMATEX,SOMA TEXTILES & INDUST LT
SOMDUTTFIN,SOM DUTT FIN. CORP. LIMITED
SOMICONVEY,SOMI CONVEYOR BELT. LIMITED.
SOMKMARINE,SOMKAN MARINE FOODS LIMITED
SONALCOSM,SONAL COSMETICS LIMITED
SONATSOFTW,SONATA SOFTWARE LIMITED
SORILINFRA,SORIL INFRA RESOURCES LIMITED
SOTL,SAVITA OIL TECHNOLO. LIMITED
SOUTHBANK,THE SOUTH INDIAN BANK LIMITED
SOUTHNHERB,SOUTHERN HERBALS LIMITED
SOUTHWEST,SOUTH WEST PINNACLE LIMITED
SPAL,S. P. APPARELS LIMITED
SPANDANA,SPANDANA SPHOORTY FIN LIMITED
SPARC,SUN PHARMA ADV.RES.CO.LTD
SPARTEK,SPARTEK CERAMICS (I) LIMITED
SPCENET,SPACENET ENTERS IND LIMITED
SPECIALITY,SPECIALITY REST LIMITED
SPECIALSTL,TATA SSL LIMITED
SPECTACLE,SPECTACLE VENTURES LIMITED
SPENCERS,SPENCER'S RETAIL LIMITED
SPENTEX,SPENTEX IND. LIMITED
SPENTXIND,SPENTEX INDUSTRIES LIMITED
SPIC,SPIC LIMITED
SPICEJET,SPICEJET LIMITED
SPICELEC,SPEL SEMICONDUCTOR LIMITED
SPICFINE,HENKEL SPIC INDIA LIMITED
SPLIL,SPL INDUSTRIES LIMITED
SPMLINFRA,SPML INFRA LIMITED
SPTL,SINTEX PLASTICS TECH LIMITED
SPYL,SHEKHAWATI POLY-YARN LIMITED.
SREEL,SREELEATHERS LIMITED
SREERAYALK, SREE RAYALSEEMA ALKALIES
SREINFRA,SREI INFRASTRUCTURE FINAN
SRF,SRF LIMITED
SRFFINANCE,GE CAPITAL TRANS. FIN SER
SRHHYPOLTD,SREE RAYALSEEMA HHP LIMITED.
SRIMANORG,SRIMAN ORGANIC CHEMICAL I
SRIPIPES,SRIKALAHASTHI PIPES LIMITED
SRISARALOY,SHRI ISHAR ALLOY STEELS L
SRISHTIVID,SRISHTI VIDEOCORP LIMITED
SRIVISHCEM,SRI VISHNU CEMENT LIMITED
SRSLTD,SRS LIMITED
SRTRANSFIN,SHRIRAM TRANSPORT FIN CO.
SSISPAT,SINGHAL SWAROOP ISPAT LIMITED
SSLFINANCE,ARCHANA SOFTWARE LIMITED
SSWL,STEEL STRIPS WHEELS LIMITED.
STAMPEDE,STAMPEDE CAPITAL LIMITED
STANDRDBAT,STANDARD BATTERIES LIMITED
STAR,STRIDES PHARMA SCI LIMITED
STARCEMENT,STAR CEMENT LIMITED
STARPAPER,STAR PAPER MILLS LIMITED
STCINDIA,THE STATE TRADING CORPN
STEELCITY,STEEL CITY SECURITIES LIMITED
STEELCOGUJ,STEELCO GUJARAT LIMITED
STEELXIND,STEEL EXCHANGE INDIA LIMITED
STEL,STEL HOLDINGS LIMITED
STERLINBIO,STERLING BIOTECH LIMITED
STERLINHOL,STERLING HOLIDAY RESORTS
STERTOOLS,STERLING TOOLS LIMITED
STILBENCHM,STILBENE CHEMICALS LIMITED
